,Filtered,Sensor,TrackID,TrackState,timestamp,xPos,xSpeed,yPos,ySpeed
0,1,Radar,2,CONFIRMED,17:38:30334,,,3277830.12652,-12.3056219566
1,0,Radar,2,CONFIRMED,17:38:30334,,,3277831.2967,-12.3
2,1,Radar,1,ZOMBIE,17:38:30518,,,3277690.64849,-7.06438850236
3,0,Radar,1,ZOMBIE,17:38:30518,,,,
4,1,Radar,2,CONFIRMED,17:38:30552,,,3277828.07111,-12.2936071386
5,0,Radar,2,CONFIRMED,17:38:30552,,,3277828.8647,-12.3
6,1,Radar,1,ZOMBIE,17:38:30718,,,3277689.24277,-6.99279985972
7,0,Radar,1,ZOMBIE,17:38:30718,,,,
8,1,Radar,2,CONFIRMED,17:38:30737,,,3277825.66435,-12.2972535559
9,0,Radar,2,CONFIRMED,17:38:30737,,,3277826.3687,-12.3
10,1,Radar,0,ZOMBIE,17:38:30884,,,3277746.74315,-12.1686907074
11,0,Radar,0,ZOMBIE,17:38:30884,,,,
12,1,Radar,1,ZOMBIE,17:38:30918,,,3277687.84901,-6.94481957058
13,0,Radar,1,ZOMBIE,17:38:30918,,,,
14,1,Radar,2,CONFIRMED,17:38:30940,,,3277823.32887,-12.3711974029
15,0,Radar,2,CONFIRMED,17:38:30940,,,3277823.9367,-12.4
16,1,Radar,0,ZOMBIE,17:38:31084,,,3277744.30436,-12.2192390047
17,0,Radar,0,ZOMBIE,17:38:31084,,,,
18,1,Radar,1,ZOMBIE,17:38:31118,,,3277686.47072,-6.83808922226
19,0,Radar,1,ZOMBIE,17:38:31118,,,,
20,1,Radar,2,CONFIRMED,17:38:31146,,,3277820.8544099997,-12.3761056959
21,0,Radar,2,CONFIRMED,17:38:31146,,,3277821.4407,-12.4
22,1,Radar,0,ZOMBIE,17:38:31284,,,3277741.85751,-12.2492953746
23,0,Radar,0,ZOMBIE,17:38:31284,,,,
24,1,Radar,1,ZOMBIE,17:38:31318,,,3277685.09632,-6.90593955883
25,0,Radar,1,ZOMBIE,17:38:31318,,,,
26,1,Radar,2,CONFIRMED,17:38:31351,,,3277818.49632,-12.3894628659
27,0,Radar,2,CONFIRMED,17:38:31351,,,3277818.9447,-12.4
28,1,Radar,0,ZOMBIE,17:38:31484,,,3277739.40886,-12.2371872971
29,0,Radar,0,ZOMBIE,17:38:31484,,,,
30,1,Radar,2,CONFIRMED,17:38:31546,,,3277816.23903,-12.3932106634
31,0,Radar,2,CONFIRMED,17:38:31546,,,3277816.3847,-12.4
32,1,Radar,0,ZOMBIE,17:38:31684,,,3277736.9542900003,-12.3084451491
33,0,Radar,0,ZOMBIE,17:38:31684,,,,
34,1,Radar,2,CONFIRMED,17:38:31766,,,3277813.78169,-12.4132942209
35,0,Radar,2,CONFIRMED,17:38:31766,,,3277813.8247,-12.4
36,1,Radar,2,CONFIRMED,17:38:31887,,,3277811.5986099998,-12.4665743817
37,0,Radar,2,CONFIRMED,17:38:31887,,,3277812.6087,-12.5
38,1,Radar,2,CONFIRMED,17:38:32154,,,3277808.8797299997,-12.4904585354
39,0,Radar,2,CONFIRMED,17:38:32154,,,3277808.8327,-12.5
40,1,Radar,2,CONFIRMED,17:38:32368,,,3277806.27569,-12.5051211973
41,0,Radar,2,CONFIRMED,17:38:32368,,,3277806.3367,-12.5
42,1,Radar,3,CONFIRMED,17:38:32368,,,3277846.91657,-13.8069096353
43,0,Radar,3,CONFIRMED,17:38:32368,,,3277848.1287,-13.8
44,1,Radar,2,CONFIRMED,17:38:32589,,,3277803.67752,-12.502158068
45,0,Radar,2,CONFIRMED,17:38:32589,,,3277803.7767,-12.5
46,1,Radar,3,CONFIRMED,17:38:32589,,,3277843.9817,-13.8085719018
47,0,Radar,3,CONFIRMED,17:38:32589,,,3277844.9927,-13.8
48,1,Radar,2,CONFIRMED,17:38:32762,,,3277801.08489,-12.5125440452
49,0,Radar,2,CONFIRMED,17:38:32762,,,3277801.2807,-12.5
50,1,Radar,3,CONFIRMED,17:38:32763,,,3277841.19506,-13.8829654815
51,0,Radar,3,CONFIRMED,17:38:32763,,,3277842.1767,-13.9
52,1,Radar,2,CONFIRMED,17:38:32902,,,3277798.61352,-12.4611430105
53,0,Radar,2,CONFIRMED,17:38:32902,,,3277799.3607,-12.5
54,1,Radar,3,CONFIRMED,17:38:32902,,,3277838.95415,-13.8452643573
55,0,Radar,3,CONFIRMED,17:38:32902,,,3277840.1287,-13.8
56,1,Radar,2,CONFIRMED,17:38:33168,,,3277796.15098,-12.4180285851
57,0,Radar,2,CONFIRMED,17:38:33168,,,3277796.1607,-12.4
58,1,Radar,3,CONFIRMED,17:38:33168,,,3277836.0142599996,-13.8465209265
59,0,Radar,3,CONFIRMED,17:38:33168,,,3277836.7367,-13.8
60,1,Radar,2,CONFIRMED,17:38:33302,,,3277793.66187,-12.4319064238
61,0,Radar,2,CONFIRMED,17:38:33302,,,3277795.0087,-12.4
62,1,Radar,3,CONFIRMED,17:38:33302,,,3277833.6516400003,-13.8310445998
63,0,Radar,3,CONFIRMED,17:38:33302,,,3277835.2647,-13.8
64,1,Radar,2,CONFIRMED,17:38:33583,,,3277791.22727,-12.3943109936
65,0,Radar,2,CONFIRMED,17:38:33583,,,3277791.1047,-12.4
66,1,Radar,3,CONFIRMED,17:38:33583,,,3277830.8136,-13.7668700632
67,0,Radar,3,CONFIRMED,17:38:33583,,,3277830.9127,-13.7
68,1,Radar,2,CONFIRMED,17:38:33774,,,3277788.8522200002,-12.3009803227
69,0,Radar,2,CONFIRMED,17:38:33774,,,3277788.5447,-12.3
70,1,Radar,3,CONFIRMED,17:38:33774,,,3277827.89016,-13.6275079793
71,0,Radar,3,CONFIRMED,17:38:33774,,,3277828.2247,-13.6
72,1,Radar,2,CONFIRMED,17:38:33975,,,3277786.4956900002,-12.2145316707
73,0,Radar,2,CONFIRMED,17:38:33975,,,3277786.1127,-12.2
74,1,Radar,3,CONFIRMED,17:38:33976,,,3277825.1864400003,-13.6373822158
75,0,Radar,3,CONFIRMED,17:38:33976,,,3277825.4087,-13.6
76,1,Radar,2,CONFIRMED,17:38:34178,,,3277784.06935,-12.1255526702
77,0,Radar,2,CONFIRMED,17:38:34178,,,3277783.7447,-12.1
78,1,Radar,3,CONFIRMED,17:38:34178,,,3277822.61925,-13.5323713987
79,0,Radar,3,CONFIRMED,17:38:34178,,,3277822.7207,-13.5
80,1,Radar,2,CONFIRMED,17:38:34319,,,3277781.64286,-12.0161221764
81,0,Radar,2,CONFIRMED,17:38:34319,,,3277781.9527,-12.0
82,1,Radar,3,CONFIRMED,17:38:34319,,,3277819.8867099998,-13.538775935
83,0,Radar,3,CONFIRMED,17:38:34319,,,3277820.8007,-13.5
84,1,Radar,2,CONFIRMED,17:38:34599,,,3277779.14263,-11.8533053399
85,0,Radar,2,CONFIRMED,17:38:34599,,,3277778.9447,-11.8
86,1,Radar,3,CONFIRMED,17:38:34599,,,3277817.2118,-13.5135468618
87,0,Radar,3,CONFIRMED,17:38:34599,,,3277817.4087,-13.5
88,1,Radar,2,CONFIRMED,17:38:34718,,,3277776.8215799998,-11.7625506441
89,0,Radar,2,CONFIRMED,17:38:34718,,,3277777.7927,-11.8
90,1,Radar,3,CONFIRMED,17:38:34718,,,3277814.7795599997,-13.414691408
91,0,Radar,3,CONFIRMED,17:38:34718,,,3277816.1287,-13.4
92,1,Radar,2,CONFIRMED,17:38:34890,,,3277774.4593599997,-11.7160512122
93,0,Radar,2,CONFIRMED,17:38:34890,,,3277775.6167,-11.7
94,1,Radar,3,CONFIRMED,17:38:34890,,,3277812.26148,-13.3779864982
95,0,Radar,3,CONFIRMED,17:38:34890,,,3277813.3767,-13.4
96,1,Radar,2,CONFIRMED,17:38:35091,,,3277772.1787099997,-11.6109147909
97,0,Radar,2,CONFIRMED,17:38:35091,,,3277773.5047,-11.6
98,1,Radar,3,CONFIRMED,17:38:35091,,,3277809.65846,-13.2578078545
99,0,Radar,3,CONFIRMED,17:38:35091,,,3277810.5607,-13.2
100,1,Radar,2,CONFIRMED,17:38:35292,,,3277769.84237,-11.5315823391
101,0,Radar,2,CONFIRMED,17:38:35292,,,3277771.1367,-11.5
102,1,Radar,3,CONFIRMED,17:38:35292,,,3277807.05153,-13.1955882975
