,Filtered,Sensor,TrackID,TrackState,timestamp,xPos,xSpeed,yPos,ySpeed
1478,1,Radar,16,ZOMBIE,17:41:33697,,,3277936.50493,-15.0327553138
1479,0,Radar,16,ZOMBIE,17:41:33697,,,,
1480,1,Radar,16,ZOMBIE,17:41:33897,,,3277933.50129,-15.0036685523
1481,0,Radar,16,ZOMBIE,17:41:33897,,,,
1482,1,Radar,16,ZOMBIE,17:41:34097,,,3277930.50318,-14.977429866
1483,0,Radar,16,ZOMBIE,17:41:34097,,,,
1484,1,Radar,16,ZOMBIE,17:41:34297,,,3277927.5073700002,-14.9806153471
1485,0,Radar,16,ZOMBIE,17:41:34297,,,,
1486,1,Radar,16,ZOMBIE,17:41:34497,,,3277924.5249400004,-14.8436725945
1487,0,Radar,16,ZOMBIE,17:41:34497,,,,
1488,1,Radar,17,CONFIRMED,17:41:36441,,,3277891.30548,-16.4135447804
1489,0,Radar,17,CONFIRMED,17:41:36441,,,3277892.6727,-16.4
1490,1,Radar,17,CONFIRMED,17:41:36665,,,3277888.06352,-16.3985190606
1491,0,Radar,17,CONFIRMED,17:41:36665,,,3277889.4727,-16.4
1492,1,Radar,17,CONFIRMED,17:41:36870,,,3277885.06625,-16.406524728
1493,0,Radar,17,CONFIRMED,17:41:36870,,,3277886.1447,-16.4
1494,1,Radar,17,CONFIRMED,17:41:37044,,,3277881.86028,-16.4194798675
1495,0,Radar,17,CONFIRMED,17:41:37044,,,3277882.8167,-16.4
1496,1,Radar,17,CONFIRMED,17:41:37245,,,3277878.85942,-16.4820443869
1497,0,Radar,17,CONFIRMED,17:41:37245,,,3277879.9367,-16.5
1498,1,Radar,17,CONFIRMED,17:41:37448,,,3277875.77237,-16.4973023965
1499,0,Radar,17,CONFIRMED,17:41:37448,,,3277876.9287,-16.5
1500,1,Radar,17,CONFIRMED,17:41:37705,,,3277872.49731,-16.4811509023
1501,0,Radar,17,CONFIRMED,17:41:37705,,,3277872.8967,-16.5
1502,1,Radar,17,CONFIRMED,17:41:37828,,,3277869.38606,-16.525359651
